,Time,ppg,hr
240000,2018-06-29 10:49:52.000000,-152.04,88.05
240001,2018-06-29 10:49:52.031250,-113.58,88.05
240002,2018-06-29 10:49:52.062500,-83.2,88.05
240003,2018-06-29 10:49:52.093750,-62.51,88.05
240004,2018-06-29 10:49:52.125000,-37.98,88.05
240005,2018-06-29 10:49:52.156250,-5.58,88.05
240006,2018-06-29 10:49:52.187500,21.84,88.05
240007,2018-06-29 10:49:52.218750,26.21,88.05
240008,2018-06-29 10:49:52.250000,7.3,88.05
240009,2018-06-29 10:49:52.281250,-15.95,88.05
240010,2018-06-29 10:49:52.312500,-24.0,88.05
240011,2018-06-29 10:49:52.343750,-14.14,88.05
240012,2018-06-29 10:49:52.375000,5.55,88.05
240013,2018-06-29 10:49:52.406250,27.87,88.05
240014,2018-06-29 10:49:52.437500,51.44,88.05
240015,2018-06-29 10:49:52.468750,69.99,88.05
240016,2018-06-29 10:49:52.500000,78.27,88.05
240017,2018-06-29 10:49:52.531250,75.88,88.15
240018,2018-06-29 10:49:52.562500,73.52,88.15
240019,2018-06-29 10:49:52.593750,83.6,88.15
240020,2018-06-29 10:49:52.625000,100.05,88.15
240021,2018-06-29 10:49:52.656250,102.86,88.15
240022,2018-06-29 10:49:52.687500,58.22,88.15
240023,2018-06-29 10:49:52.718750,-16.71,88.15
240024,2018-06-29 10:49:52.750000,-60.19,88.15
240025,2018-06-29 10:49:52.781250,-52.6,88.15
240026,2018-06-29 10:49:52.812500,4.24,88.15
240027,2018-06-29 10:49:52.843750,70.88,88.15
240028,2018-06-29 10:49:52.875000,90.97,88.15
240029,2018-06-29 10:49:52.906250,41.07,88.15
240030,2018-06-29 10:49:52.937500,-47.29,88.15
240031,2018-06-29 10:49:52.968750,-127.41,88.15
240032,2018-06-29 10:49:53.000000,-164.63,88.15
240033,2018-06-29 10:49:53.031250,-156.42,88.15
240034,2018-06-29 10:49:53.062500,-121.71,88.15
240035,2018-06-29 10:49:53.093750,-82.44,88.15
240036,2018-06-29 10:49:53.125000,-45.42,88.15
240037,2018-06-29 10:49:53.156250,-10.2,88.15
240038,2018-06-29 10:49:53.187500,12.58,88.15
240039,2018-06-29 10:49:53.218750,12.69,88.15
240040,2018-06-29 10:49:53.250000,-1.07,88.15
240041,2018-06-29 10:49:53.281250,-5.19,88.15
240042,2018-06-29 10:49:53.312500,4.5,88.15
240043,2018-06-29 10:49:53.343750,10.13,88.15
240044,2018-06-29 10:49:53.375000,3.67,88.15
240045,2018-06-29 10:49:53.406250,-2.14,88.15
240046,2018-06-29 10:49:53.437500,0.6,88.15
240047,2018-06-29 10:49:53.468750,4.02,88.15
240048,2018-06-29 10:49:53.500000,3.16,88.15
240049,2018-06-29 10:49:53.531250,0.3,88.23
240050,2018-06-29 10:49:53.562500,-7.04,88.23
240051,2018-06-29 10:49:53.593750,-22.61,88.23
240052,2018-06-29 10:49:53.625000,-36.81,88.23
240053,2018-06-29 10:49:53.656250,-31.38,88.23
240054,2018-06-29 10:49:53.687500,-0.99,88.23
240055,2018-06-29 10:49:53.718750,40.48,88.23
240056,2018-06-29 10:49:53.750000,79.0,88.23
240057,2018-06-29 10:49:53.781250,110.81,88.23
240058,2018-06-29 10:49:53.812500,130.8,88.23
240059,2018-06-29 10:49:53.843750,128.05,88.23
240060,2018-06-29 10:49:53.875000,99.43,88.23
