,Time,ppg,hr
227200,2018-06-29 10:43:12.000000,26.91,75.1
227201,2018-06-29 10:43:12.031250,31.82,75.1
227202,2018-06-29 10:43:12.062500,35.14,75.1
227203,2018-06-29 10:43:12.093750,35.19,75.1
227204,2018-06-29 10:43:12.125000,30.82,75.1
227205,2018-06-29 10:43:12.156250,23.3,75.1
227206,2018-06-29 10:43:12.187500,15.23,75.1
227207,2018-06-29 10:43:12.218750,7.69,75.1
227208,2018-06-29 10:43:12.250000,0.32,75.1
227209,2018-06-29 10:43:12.281250,-6.9,75.1
227210,2018-06-29 10:43:12.312500,-13.23,75.1
227211,2018-06-29 10:43:12.343750,-17.44,75.1
227212,2018-06-29 10:43:12.375000,-18.45,75.1
227213,2018-06-29 10:43:12.406250,-16.87,75.1
227214,2018-06-29 10:43:12.437500,-13.33,75.1
227215,2018-06-29 10:43:12.468750,-3.85,75.1
227216,2018-06-29 10:43:12.500000,16.83,75.1
227217,2018-06-29 10:43:12.531250,45.37,75.48
227218,2018-06-29 10:43:12.562500,70.77,75.48
227219,2018-06-29 10:43:12.593750,86.68,75.48
227220,2018-06-29 10:43:12.625000,94.89,75.48
227221,2018-06-29 10:43:12.656250,98.13,75.48
227222,2018-06-29 10:43:12.687500,96.23,75.48
227223,2018-06-29 10:43:12.718750,88.56,75.48
227224,2018-06-29 10:43:12.750000,77.01,75.48
227225,2018-06-29 10:43:12.781250,66.43,75.48
227226,2018-06-29 10:43:12.812500,61.36,75.48
227227,2018-06-29 10:43:12.843750,61.24,75.48
227228,2018-06-29 10:43:12.875000,61.28,75.48
227229,2018-06-29 10:43:12.906250,59.37,75.48
227230,2018-06-29 10:43:12.937500,57.0,75.48
227231,2018-06-29 10:43:12.968750,51.09,75.48
227232,2018-06-29 10:43:13.000000,33.87,75.48
227233,2018-06-29 10:43:13.031250,5.38,75.48
227234,2018-06-29 10:43:13.062500,-24.0,75.48
227235,2018-06-29 10:43:13.093750,-43.74,75.48
227236,2018-06-29 10:43:13.125000,-48.35,75.48
227237,2018-06-29 10:43:13.156250,-41.19,75.48
227238,2018-06-29 10:43:13.187500,-38.16,75.48
227239,2018-06-29 10:43:13.218750,-53.96,75.48
227240,2018-06-29 10:43:13.250000,-83.04,75.48
227241,2018-06-29 10:43:13.281250,-106.48,75.48
227242,2018-06-29 10:43:13.312500,-112.77,75.48
227243,2018-06-29 10:43:13.343750,-103.9,75.48
227244,2018-06-29 10:43:13.375000,-88.2,75.48
227245,2018-06-29 10:43:13.406250,-72.82,75.48
227246,2018-06-29 10:43:13.437500,-61.08,75.48
227247,2018-06-29 10:43:13.468750,-53.68,75.48
227248,2018-06-29 10:43:13.500000,-50.02,75.48
227249,2018-06-29 10:43:13.531250,-48.23,75.83
227250,2018-06-29 10:43:13.562500,-46.62,75.83
227251,2018-06-29 10:43:13.593750,-45.56,75.83
227252,2018-06-29 10:43:13.625000,-45.76,75.83
227253,2018-06-29 10:43:13.656250,-45.77,75.83
227254,2018-06-29 10:43:13.687500,-43.33,75.83
227255,2018-06-29 10:43:13.718750,-37.64,75.83
227256,2018-06-29 10:43:13.750000,-29.7,75.83
227257,2018-06-29 10:43:13.781250,-21.42,75.83
227258,2018-06-29 10:43:13.812500,-14.24,75.83
227259,2018-06-29 10:43:13.843750,-8.47,75.83
227260,2018-06-29 10:43:13.875000,-4.99,75.83
227261,2018-06-29 10:43:13.906250,-6.09,75.83
227262,2018-06-29 10:43:13.937500,-11.83,75.83
227263,2018-06-29 10:43:13.968750,-17.36,75.83
227264,2018-06-29 10:43:14.000000,-16.14,75.83
227265,2018-06-29 10:43:14.031250,-5.4,75.83
227266,2018-06-29 10:43:14.062500,11.29,75.83
227267,2018-06-29 10:43:14.093750,25.81,75.83
227268,2018-06-29 10:43:14.125000,33.0,75.83
227269,2018-06-29 10:43:14.156250,37.03,75.83
227270,2018-06-29 10:43:14.187500,44.82,75.83
227271,2018-06-29 10:43:14.218750,55.27,75.83
227272,2018-06-29 10:43:14.250000,63.61,75.83
227273,2018-06-29 10:43:14.281250,71.24,75.83
227274,2018-06-29 10:43:14.312500,82.87,75.83
227275,2018-06-29 10:43:14.343750,99.12,75.83
227276,2018-06-29 10:43:14.375000,115.72,75.83
227277,2018-06-29 10:43:14.406250,124.1,75.83
227278,2018-06-29 10:43:14.437500,115.01,75.83
227279,2018-06-29 10:43:14.468750,87.03,75.83
227280,2018-06-29 10:43:14.500000,47.49,75.83
227281,2018-06-29 10:43:14.531250,5.71,76.18
227282,2018-06-29 10:43:14.562500,-29.86,76.18
227283,2018-06-29 10:43:14.593750,-54.53,76.18
227284,2018-06-29 10:43:14.625000,-71.61,76.18
227285,2018-06-29 10:43:14.656250,-88.01,76.18
227286,2018-06-29 10:43:14.687500,-104.63,76.18
227287,2018-06-29 10:43:14.718750,-114.57,76.18
227288,2018-06-29 10:43:14.750000,-109.63,76.18
227289,2018-06-29 10:43:14.781250,-88.79,76.18
227290,2018-06-29 10:43:14.812500,-61.14,76.18
227291,2018-06-29 10:43:14.843750,-37.3,76.18
227292,2018-06-29 10:43:14.875000,-19.15,76.18
227293,2018-06-29 10:43:14.906250,-2.53,76.18
227294,2018-06-29 10:43:14.937500,13.71,76.18
227295,2018-06-29 10:43:14.968750,26.55,76.18
227296,2018-06-29 10:43:15.000000,33.41,76.18
227297,2018-06-29 10:43:15.031250,34.46,76.18
227298,2018-06-29 10:43:15.062500,32.57,76.18
227299,2018-06-29 10:43:15.093750,31.94,76.18
227300,2018-06-29 10:43:15.125000,34.59,76.18
227301,2018-06-29 10:43:15.156250,38.07,76.18
227302,2018-06-29 10:43:15.187500,37.98,76.18
227303,2018-06-29 10:43:15.218750,33.06,76.18
227304,2018-06-29 10:43:15.250000,26.44,76.18
227305,2018-06-29 10:43:15.281250,21.12,76.18
227306,2018-06-29 10:43:15.312500,15.7,76.18
227307,2018-06-29 10:43:15.343750,7.09,76.18
227308,2018-06-29 10:43:15.375000,-4.69,76.18
227309,2018-06-29 10:43:15.406250,-17.5,76.18
227310,2018-06-29 10:43:15.437500,-30.32,76.18
227311,2018-06-29 10:43:15.468750,-42.72,76.18
227312,2018-06-29 10:43:15.500000,-53.09,76.18
227313,2018-06-29 10:43:15.531250,-58.36,76.55
227314,2018-06-29 10:43:15.562500,-54.67,76.55
227315,2018-06-29 10:43:15.593750,-41.71,76.55
227316,2018-06-29 10:43:15.625000,-26.35,76.55
227317,2018-06-29 10:43:15.656250,-16.69,76.55
227318,2018-06-29 10:43:15.687500,-13.68,76.55
227319,2018-06-29 10:43:15.718750,-13.03,76.55
