,Time,ppg,hr
198400,2018-06-29 10:28:12.000000,100.69,77.57
198401,2018-06-29 10:28:12.031250,124.56,77.57
198402,2018-06-29 10:28:12.062500,140.97,77.57
198403,2018-06-29 10:28:12.093750,147.12,77.57
198404,2018-06-29 10:28:12.125000,143.36,77.57
198405,2018-06-29 10:28:12.156250,134.04,77.57
198406,2018-06-29 10:28:12.187500,123.51,77.57
198407,2018-06-29 10:28:12.218750,114.42,77.57
198408,2018-06-29 10:28:12.250000,108.57,77.57
198409,2018-06-29 10:28:12.281250,105.53,77.57
198410,2018-06-29 10:28:12.312500,101.28,77.57
198411,2018-06-29 10:28:12.343750,92.65,77.57
198412,2018-06-29 10:28:12.375000,81.53,77.57
198413,2018-06-29 10:28:12.406250,71.64,77.57
198414,2018-06-29 10:28:12.437500,63.59,77.57
198415,2018-06-29 10:28:12.468750,55.45,77.57
198416,2018-06-29 10:28:12.500000,46.28,77.57
198417,2018-06-29 10:28:12.531250,37.05,76.9
198418,2018-06-29 10:28:12.562500,28.81,76.9
198419,2018-06-29 10:28:12.593750,20.92,76.9
198420,2018-06-29 10:28:12.625000,11.85,76.9
198421,2018-06-29 10:28:12.656250,1.37,76.9
198422,2018-06-29 10:28:12.687500,-9.16,76.9
198423,2018-06-29 10:28:12.718750,-19.29,76.9
198424,2018-06-29 10:28:12.750000,-30.27,76.9
198425,2018-06-29 10:28:12.781250,-42.48,76.9
198426,2018-06-29 10:28:12.812500,-54.04,76.9
198427,2018-06-29 10:28:12.843750,-63.58,76.9
198428,2018-06-29 10:28:12.875000,-72.91,76.9
198429,2018-06-29 10:28:12.906250,-85.55,76.9
198430,2018-06-29 10:28:12.937500,-101.34,76.9
198431,2018-06-29 10:28:12.968750,-111.48,76.9
198432,2018-06-29 10:28:13.000000,-103.05,76.9
198433,2018-06-29 10:28:13.031250,-72.99,76.9
198434,2018-06-29 10:28:13.062500,-32.97,76.9
198435,2018-06-29 10:28:13.093750,2.84,76.9
198436,2018-06-29 10:28:13.125000,29.3,76.9
198437,2018-06-29 10:28:13.156250,48.15,76.9
198438,2018-06-29 10:28:13.187500,60.94,76.9
198439,2018-06-29 10:28:13.218750,67.84,76.9
198440,2018-06-29 10:28:13.250000,70.01,76.9
198441,2018-06-29 10:28:13.281250,70.23,76.9
198442,2018-06-29 10:28:13.312500,70.66,76.9
198443,2018-06-29 10:28:13.343750,71.59,76.9
198444,2018-06-29 10:28:13.375000,72.66,76.9
198445,2018-06-29 10:28:13.406250,73.36,76.9
198446,2018-06-29 10:28:13.437500,72.99,76.9
198447,2018-06-29 10:28:13.468750,71.69,76.9
198448,2018-06-29 10:28:13.500000,70.45,76.9
198449,2018-06-29 10:28:13.531250,68.76,76.15
198450,2018-06-29 10:28:13.562500,63.79,76.15
198451,2018-06-29 10:28:13.593750,53.36,76.15
198452,2018-06-29 10:28:13.625000,38.64,76.15
198453,2018-06-29 10:28:13.656250,22.29,76.15
198454,2018-06-29 10:28:13.687500,5.61,76.15
198455,2018-06-29 10:28:13.718750,-10.53,76.15
198456,2018-06-29 10:28:13.750000,-24.22,76.15
198457,2018-06-29 10:28:13.781250,-34.38,76.15
198458,2018-06-29 10:28:13.812500,-41.94,76.15
198459,2018-06-29 10:28:13.843750,-48.02,76.15
198460,2018-06-29 10:28:13.875000,-53.42,76.15
198461,2018-06-29 10:28:13.906250,-59.15,76.15
198462,2018-06-29 10:28:13.937500,-65.7,76.15
198463,2018-06-29 10:28:13.968750,-72.72,76.15
198464,2018-06-29 10:28:14.000000,-80.29,76.15
198465,2018-06-29 10:28:14.031250,-88.87,76.15
198466,2018-06-29 10:28:14.062500,-96.26,76.15
198467,2018-06-29 10:28:14.093750,-95.54,76.15
198468,2018-06-29 10:28:14.125000,-80.39,76.15
198469,2018-06-29 10:28:14.156250,-53.68,76.15
198470,2018-06-29 10:28:14.187500,-26.02,76.15
198471,2018-06-29 10:28:14.218750,-4.88,76.15
198472,2018-06-29 10:28:14.250000,9.77,76.15
198473,2018-06-29 10:28:14.281250,19.9,76.15
198474,2018-06-29 10:28:14.312500,26.02,76.15
